,capacity_demand,type,price_factor,cpu_id,cpus,cpu_dimms,ddr,cpu_dimm_size,cpu_dimm_price,devs,dev_dimms,dev_ddr,dev_dimm_size,dev_dimm_price,cpu_capacity,cxl_capacity,capacity,price
0,256,CPU Memory,1.0,8452Y,1,16,5,16,85,0,0,0,0,0,256,0,256,5360
1,256,"CPU Memory +
1 CXL Device",1.9701492537313432,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
2,256,"CPU Memory +
1 to 4 CXL Devices",1.9701492537313432,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
3,512,CPU Memory,1.0,8452Y,1,16,5,32,137,0,0,0,0,0,512,0,512,6192
4,512,"CPU Memory +
1 CXL Device",1.7054263565891472,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
5,512,"CPU Memory +
1 to 4 CXL Devices",1.7054263565891472,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
6,768,CPU Memory,1.0,8452Y,1,16,5,64,346,0,0,0,0,0,1024,0,1024,9536
7,768,"CPU Memory +
1 CXL Device",1.1073825503355705,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
8,768,"CPU Memory +
1 to 4 CXL Devices",1.1073825503355705,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
9,1024,CPU Memory,1.0,8452Y,1,16,5,64,346,0,0,0,0,0,1024,0,1024,9536
10,1024,"CPU Memory +
1 CXL Device",1.1073825503355705,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
11,1024,"CPU Memory +
1 to 4 CXL Devices",1.1073825503355705,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
12,1280,CPU Memory,1.0,8452Y,2,16,5,64,346,0,0,0,0,0,2048,0,2048,19072
13,1280,"CPU Memory +
1 CXL Device",0.5536912751677853,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
14,1280,"CPU Memory +
1 to 4 CXL Devices",0.5536912751677853,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1280,10560
15,1536,CPU Memory,1.0,8452Y,2,16,5,64,346,0,0,0,0,0,2048,0,2048,19072
16,1536,"CPU Memory +
1 CXL Device",0.5973154362416108,8452Y,1,16,5,32,137,1,8,4,128,650,512,1024,1536,11392
