,Name,Product Collection,Vertical Segment,Processor Number,Lithography,Recommended Customer Price,Total Cores,Total Threads,Max Turbo Frequency,Processor Base Frequency,Cache,Intel® UPI Speed,Max # of UPI Links,TDP,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Marketing Status,Launch Date,Servicing Status,Use Conditions,Embedded Options Available,Extended Temperature Options,Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,ECC Memory Supported   ‡,Maximum Memory Speed,Intel® Optane™ DC Persistent Memory Supported,Scalability,PCI Express Revision,Max # of PCI Express Lanes,Sockets Supported,Package Carrier,DTS Max,TCASE,Package Size,Intel® On Demand Available Upgrades,Intel® Virtual RAID on CPU (Intel® VROC) Activation Options,Intel® On Demand Activation Model,Intel® Data Streaming Accelerator (DSA),Intel® Advanced Matrix Extensions (AMX),Intel® Speed Select Technology – Core Power,Intel® Speed Select Technology – Turbo Frequency,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Intel® Speed Select Technology - Base Frequency,High Priority Cores,High Priority Core Frequency,Low Priority Cores,Low Priority Core Frequency,Intel® Resource Director Technology (Intel® RDT),Intel® Speed Shift Technology,Intel® Turbo Boost Technology ‡,Intel® Hyper-Threading Technology ‡,Intel® Transactional Synchronization Extensions,Intel® 64 ‡,Instruction Set Extensions,# of AVX-512 FMA Units,Intel® QuickAssist Technology (QAT),Intel® Dynamic Load Balancer (DLB),Intel® Speed Select Technology - Performance Profile,Intel® In-memory Analytics Accelerator (IAA),Intel® vRAN Boost,Intel® Volume Management Device (VMD),Intel® Virtual RAID on CPU (Intel® VROC) Available,Intel® Software Guard Extensions (Intel® SGX),Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,Intel® Crypto Acceleration,Intel® QuickAssist Software Acceleration,Intel® Platform Firmware Resilience Support,Intel® Control-Flow Enforcement Technology,Intel® Total Memory Encryption,Intel® AES New Instructions,Intel® OS Guard,Intel® Trusted Execution Technology ‡,Execute Disable Bit ‡,Intel® Boot Guard,Intel® Run Sure Technology,Mode-based Execute Control (MBEC),Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® VT-x with Extended Page Tables (EPT) ‡,Intel® Trust Domain Extensions (Intel® TDX),Intel® Total Memory Encryption - Multi Key,Intel® Speed Select Technology
0,Intel® Xeon® Platinum 8470Q Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8470Q,Intel 7,$9410.00,52,104,3.80 GHz,2.10 GHz,105 MB,16 GT/s,4,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,75 °C,57°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.30 GHz,36,1.90 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
1,Intel® Xeon® Platinum 8470 Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8470,Intel 7,$9359.00,52,104,3.80 GHz,2.00 GHz,105 MB,16 GT/s,4,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,98 °C,79°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.20 GHz,36,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
4,Intel® Xeon® Platinum 8468 Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8468,Intel 7,$7214.00,48,96,3.80 GHz,2.10 GHz,105 MB,16 GT/s,4,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,100 °C,79°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.30 GHz,32,1.90 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
5,Intel® Xeon® Platinum 8460Y+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8460Y+,Intel 7,$5558.00,40,80,3.70 GHz,2.00 GHz,105 MB,16 GT/s,4,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,95 °C,76°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.10 GHz,28,1.70 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
7,Intel® Xeon® Platinum 8454H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8454H,Intel 7,$6540.00,32,64,3.40 GHz,2.10 GHz,82.5 MB,16 GT/s,4,270 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,97 °C,71°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,12,2.20 GHz,20,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
8,Intel® Xeon® Platinum 8468V Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8468V,Intel 7,$7121.00,48,96,3.80 GHz,2.40 GHz,97.5 MB,16 GT/s,3,330 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,97 °C,77°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.50 GHz,32,2.10 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
9,Intel® Xeon® Platinum 8461V Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8461V,Intel 7,$4491.00,48,96,3.70 GHz,2.20 GHz,97.5 MB,0 GT/s,0,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,1S Only,5.0,80,FCLGA4677,E1A,95 °C,77°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,16,2.30 GHz,32,1.90 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
10,Intel® Xeon® Platinum 8458P Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8458P,Intel 7,$6759.00,44,88,3.80 GHz,2.70 GHz,82.5 MB,16 GT/s,3,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5.0,80,FCLGA4677,E1A,101 °C,78°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,,0,0 MHz,0,0 MHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
11,Intel® Xeon® Platinum 8460H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8460H,Intel 7,$10710.00,40,80,3.80 GHz,2.20 GHz,105 MB,16 GT/s,4,330 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5.0,80,FCLGA4677,E1A,97 °C,76°C,77.5mm x 56.5mm,,,,4 default devices,Yes,Yes,Yes,Yes,Yes,12,2.40 GHz,28,2.00 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,4 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
12,Intel® Xeon® Platinum 8471N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8471N,Intel 7,$5171.00,52,104,3.60 GHz,1.80 GHz,97.5 MB,0 GT/s,0,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,1S Only,5.0,80,FCLGA4677,E1A,92 °C,76°C,77.5mm x 56.5mm,See the specifications,,Yes,4 default devices,,Yes,Yes,Yes,Yes,16,1.90 GHz,36,1.30 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,4 default devices,4 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
