,cpu_id,cpus,cpu_dimms,ddr,cpu_dimm_size,cpu_dimm_price,devs,dev_dimms,dev_ddr,dev_dimm_size,dev_dimm_price,cpu_capacity,cxl_capacity,capacity,price,share_cxl_mem,desc
0,8452Y,1,16,5,16,85,0,0,0,0,0,256,0,0.25,5.36,0.0,1 CPU  
1,8452Y,1,16,5,32,137,0,0,0,0,0,512,0,0.5,6.192,0.0,1 CPU  
5,8452Y,2,16,5,16,85,0,0,0,0,0,512,0,0.5,10.72,0.0,2 CPUs  
2,8452Y,1,16,5,64,346,0,0,0,0,0,1024,0,1.0,9.536,0.0,1 CPU  
6,8452Y,2,16,5,32,137,0,0,0,0,0,1024,0,1.0,12.384,0.0,2 CPUs  
14,8452Y,1,16,5,16,85,1,8,4,128,650,256,1024,1.25,10.56,0.8,1 CPU (0.25 TiB) + CXL
10,8452Y,1,16,5,16,85,1,8,4,128,0,256,1024,1.25,5.36,0.8,1 CPU (0.25 TiB) + CXL (reuse)
3,8452Y,1,16,5,128,948,0,0,0,0,0,2048,0,2.0,19.168,0.0,1 CPU  
22,8452Y,1,16,5,64,346,1,8,4,128,650,1024,1024,2.0,14.736,0.5,1 CPU (1.0 TiB) + CXL
7,8452Y,2,16,5,64,346,0,0,0,0,0,2048,0,2.0,19.072,0.0,2 CPUs  
18,8452Y,1,16,5,64,346,1,8,4,128,0,1024,1024,2.0,9.536,0.5,1 CPU (1.0 TiB) + CXL (reuse)
11,8452Y,1,16,5,16,85,2,8,4,128,0,256,2048,2.25,5.36,0.8888888888888888,1 CPU (0.25 TiB) + CXL (reuse)
15,8452Y,1,16,5,16,85,2,8,4,128,650,256,2048,2.25,15.76,0.8888888888888888,1 CPU (0.25 TiB) + CXL
19,8452Y,1,16,5,64,346,2,8,4,128,0,1024,2048,3.0,9.536,0.6666666666666666,1 CPU (1.0 TiB) + CXL (reuse)
23,8452Y,1,16,5,64,346,2,8,4,128,650,1024,2048,3.0,19.936,0.6666666666666666,1 CPU (1.0 TiB) + CXL
16,8452Y,1,16,5,16,85,3,8,4,128,650,256,3072,3.25,20.96,0.9230769230769231,1 CPU (0.25 TiB) + CXL
12,8452Y,1,16,5,16,85,3,8,4,128,0,256,3072,3.25,5.36,0.9230769230769231,1 CPU (0.25 TiB) + CXL (reuse)
4,8452Y,1,16,5,256,3200,0,0,0,0,0,4096,0,4.0,55.2,0.0,1 CPU  
24,8452Y,1,16,5,64,346,3,8,4,128,650,1024,3072,4.0,25.136,0.75,1 CPU (1.0 TiB) + CXL
8,8452Y,2,16,5,128,948,0,0,0,0,0,4096,0,4.0,38.336,0.0,2 CPUs  
20,8452Y,1,16,5,64,346,3,8,4,128,0,1024,3072,4.0,9.536,0.75,1 CPU (1.0 TiB) + CXL (reuse)
17,8452Y,1,16,5,16,85,4,8,4,128,650,256,4096,4.25,26.16,0.9411764705882353,1 CPU (0.25 TiB) + CXL
13,8452Y,1,16,5,16,85,4,8,4,128,0,256,4096,4.25,5.36,0.9411764705882353,1 CPU (0.25 TiB) + CXL (reuse)
26,8452Y,1,16,5,256,3200,1,8,4,128,0,4096,1024,5.0,55.2,0.2,1 CPU (4.0 TiB) + CXL (reuse)
21,8452Y,1,16,5,64,346,4,8,4,128,0,1024,4096,5.0,9.536,0.8,1 CPU (1.0 TiB) + CXL (reuse)
30,8452Y,1,16,5,256,3200,1,8,4,128,650,4096,1024,5.0,60.4,0.2,1 CPU (4.0 TiB) + CXL
25,8452Y,1,16,5,64,346,4,8,4,128,650,1024,4096,5.0,30.336,0.8,1 CPU (1.0 TiB) + CXL
27,8452Y,1,16,5,256,3200,2,8,4,128,0,4096,2048,6.0,55.2,0.3333333333333333,1 CPU (4.0 TiB) + CXL (reuse)
31,8452Y,1,16,5,256,3200,2,8,4,128,650,4096,2048,6.0,65.6,0.3333333333333333,1 CPU (4.0 TiB) + CXL
32,8452Y,1,16,5,256,3200,3,8,4,128,650,4096,3072,7.0,70.8,0.42857142857142855,1 CPU (4.0 TiB) + CXL
28,8452Y,1,16,5,256,3200,3,8,4,128,0,4096,3072,7.0,55.2,0.42857142857142855,1 CPU (4.0 TiB) + CXL (reuse)
9,8452Y,2,16,5,256,3200,0,0,0,0,0,8192,0,8.0,110.4,0.0,2 CPUs  
29,8452Y,1,16,5,256,3200,4,8,4,128,0,4096,4096,8.0,55.2,0.5,1 CPU (4.0 TiB) + CXL (reuse)
33,8452Y,1,16,5,256,3200,4,8,4,128,650,4096,4096,8.0,76.0,0.5,1 CPU (4.0 TiB) + CXL
