hostname,device_type,device_codename,benchmark,memory_operation,cpu_node,memory_type,memory_node,page_type,warm_up,range_bytes,item_bytes,tile_size,threads,grid_size,block_size,warp_aligned,throttle_reasons,clock_rate_mhz,memory_accesses,cycles,ns
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,true,1073741824,4,,16,,,,,0,268435440,49426408,98806418
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,50335061,100688703
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,50637891,101149299
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,50452481,100762544
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,50589698,101010253
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,true,1073741824,8,,16,,,,,0,134217712,41880291,93766419
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,50303498,99711681
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,50582891,99643772
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,49918807,98984426
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,50119652,99314167
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,true,1073741824,16,,16,,,,,0,67108848,47832156,94667838
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,16,,16,,,,,0,67108848,50001964,99074173
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,16,,16,,,,,0,67108848,50591805,99670366
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,16,,16,,,,,0,67108848,50546414,100191458
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,255,Default,false,1073741824,16,,16,,,,,0,67108848,50571886,100274457
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,true,1073741824,4,,16,,,,,0,268435440,33761508,66905208
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,33742982,65990829
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,33764657,67739032
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,33752221,68889254
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,4,,16,,,,,0,268435440,33703882,68903337
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,true,1073741824,8,,16,,,,,0,134217712,33762958,66988083
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,33758326,66950280
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,33767388,67806874
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,33560624,68607870
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,false,1073741824,8,,16,,,,,0,134217712,33547200,68002406
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,255,Default,true,1073741824,16,,16,,,,,0,67108848,33757802,68068793
