hostname,device_type,device_codename,benchmark,memory_operation,cpu_node,memory_type,memory_node,page_type,warm_up,range_bytes,item_bytes,tile_size,threads,grid_size,block_size,warp_aligned,throttle_reasons,clock_rate_mhz,memory_accesses,cycles,ns
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,4,,16,,,,,0,268435440,15009236,32546899
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15808562,33281215
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15906376,34077346
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15759287,32670516
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15907328,33423208
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,8,,16,,,,,0,134217712,15566826,32121953
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,16026049,31431819
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,16102759,32270807
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15882095,33241406
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15744292,32742428
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,16,,16,,,,,0,67108848,16134528,32770644
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15852107,31520232
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15968106,32316547
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15966491,32410885
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15815477,33288371
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,4,,16,,,,,0,268435440,15722419,32256166
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15617317,31294929
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15754209,31339062
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15778523,32620969
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,15708961,31937027
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,8,,16,,,,,0,134217712,14682343,38628151
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15773816,31749654
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15859109,31790967
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15831244,31199013
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,15570339,32816642
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,16,,16,,,,,0,67108848,15697625,31607741
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15568810,32111162
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15878299,31106187
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15879512,31083075
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,15338814,32091859
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,4,,16,,,,,0,268435440,259873370,552550617
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,259978196,509338291
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,259875611,509466420
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,260487603,510365394
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,268435440,259868478,508625194
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,8,,16,,,,,0,134217712,158776540,322172970
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,158486046,310237438
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,158403642,310706469
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,158357028,311062131
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,134217712,158435198,311920815
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,16,,16,,,,,0,67108848,148677423,348141175
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,130029600,256378409
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,130149402,255819210
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,130537300,257082411
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,67108848,130031792,256497065
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,true,1073741824,4,,16,,,,,0,57106000,100027793,209348601
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,55847000,100037494,197311920
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,56020000,100024322,197871543
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,55918000,100036496,198396340
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,55992000,100026711,197770025
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,true,1073741824,8,,16,,,,,0,61676000,100041171,289393718
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,55900000,100037741,198154596
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,60330000,100020409,197686997
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,55813000,100022064,198614936
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,57366000,100030034,197697758
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,true,1073741824,16,,16,,,,,0,63251000,100051768,257226389
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,56013000,100032986,197998980
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,56904000,100025384,198549517
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,56285000,100031328,199087551
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,57542000,100037203,198304361
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,true,1073741824,4,,16,,,,,0,61589000,100017723,254654491
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,58818000,100018802,197435921
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,58832000,100033512,197644933
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,58862000,100019626,198021352
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,4,,16,,,,,0,58943000,100025486,198306874
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,true,1073741824,8,,16,,,,,0,59435000,100022366,219305217
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,58846000,100020802,197997406
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,58863000,100021010,197505011
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,58891000,100019743,197423068
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,8,,16,,,,,0,58798000,100022732,197009619
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,true,1073741824,16,,16,,,,,0,62051000,100019692,257880771
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,58601000,100021064,196707438
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,58633000,100024812,198173019
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Read,0,Numa,8,Default,false,1073741824,16,,16,,,,,0,58640000,100022575,197613536
