hostname,device_type,device_codename,benchmark,memory_operation,cpu_node,memory_type,memory_node,page_type,warm_up,range_bytes,item_bytes,tile_size,threads,grid_size,block_size,warp_aligned,throttle_reasons,clock_rate_mhz,memory_accesses,cycles,ns
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,4,,64,,,,,0,268435392,15625347,32954197
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,15984716,33688950
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,15894938,33441911
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,15876445,33400784
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,15800743,33326711
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,8,,64,,,,,0,134217664,15667055,32271544
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,15869963,33274279
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,15525379,32654464
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,15781466,31511548
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,15886092,31611372
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,true,1073741824,16,,64,,,,,0,67108800,15866441,31582165
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,15658687,31522031
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,16006538,31758526
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,15600858,31637791
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,15660361,31710378
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,4,,64,,,,,0,268435392,14602987,28858550
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,14382638,28760062
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,14606318,28823325
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,14523299,28677432
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,14533430,28648265
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,8,,64,,,,,0,134217664,14337448,28866861
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,14506972,28646495
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,14569345,28694226
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,14577999,28734709
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,14558633,28827368
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,true,1073741824,16,,64,,,,,0,67108800,14517790,28780493
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,14572199,28640408
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,14536795,28620820
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,14571552,28856627
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,14540150,28724088
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,4,,64,,,,,0,268435392,70006646,137313550
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,69287972,135563058
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,69409547,135888857
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,69469610,136007645
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,268435392,69316400,136653631
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,8,,64,,,,,0,134217664,42413989,157365636
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,42295489,82896310
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,42325777,83694168
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,42361815,83002974
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,134217664,41932297,83060769
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,true,1073741824,16,,64,,,,,0,67108800,42461674,86563837
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,35319342,70135186
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,35462296,70278950
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,35414662,69503609
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,8,Default,false,1073741824,16,,64,,,,,0,67108800,35302882,69352496
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,true,1073741824,4,,64,,,,,0,56058000,100289523,196938511
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,56536000,100514325,200595047
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,56409000,100200054,200335364
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,57691000,100176363,203111913
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,4,,64,,,,,0,56115000,100204077,199206385
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,true,1073741824,8,,64,,,,,0,56270000,100211389,198320493
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,56060000,100233481,197968989
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,56672000,100238372,200434366
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,57217000,100241811,202143704
gp03,CPU,"POWER9, altivec supported",LinearCongruentialGenerator,Write,0,Numa,8,Default,false,1073741824,8,,64,,,,,0,56286000,100218682,198127384
