hostname,device_type,device_codename,benchmark,memory_operation,cpu_node,memory_type,memory_node,page_type,warm_up,range_bytes,item_bytes,tile_size,threads,grid_size,block_size,warp_aligned,throttle_reasons,clock_rate_mhz,memory_accesses,cycles,ns
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,true,1073741824,4,,64,,,,,0,268435392,6570323,13533182
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,6574794,14231878
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,6423856,15170453
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,6455490,15392295
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,6421630,16138150
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,true,1073741824,8,,64,,,,,0,134217664,6390442,13410544
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,6429048,13346072
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,6435933,13595317
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,6601271,13318557
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,6444940,13238261
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,true,1073741824,16,,64,,,,,0,67108800,6524205,13416723
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,6646104,13260541
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,6650461,13239153
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,6704670,13184514
gp03,CPU,"POWER9, altivec supported",Sequential,Write,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,6653456,13134389
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,true,1073741824,4,,64,,,,,0,268435392,3742831,8748272
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,3862403,7906554
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,3918553,7926462
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,3900595,7932844
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,3811887,7732712
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,true,1073741824,8,,64,,,,,0,134217664,3852276,7984860
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,3906653,7771838
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,3890825,7842794
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,3935774,7949074
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,3895025,7872216
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,true,1073741824,16,,64,,,,,0,67108800,3901377,8051740
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,3853735,7812901
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,3856529,7723074
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,3907276,7889539
gp03,CPU,"POWER9, altivec supported",Sequential,Read,0,Numa,0,Default,false,1073741824,16,,64,,,,,0,67108800,3884450,7952011
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,true,1073741824,4,,64,,,,,0,268435392,62604040,122697621
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,62596978,123852017
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,62485535,127101880
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,62438175,122231378
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,false,1073741824,4,,64,,,,,0,268435392,62376655,123560017
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,true,1073741824,8,,64,,,,,0,134217664,34854500,72404100
gp03,CPU,"POWER9, altivec supported",Sequential,CompareAndSwap,0,Numa,0,Default,false,1073741824,8,,64,,,,,0,134217664,34821813,68416404
