,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,number_operations,random_distribution,bandwidth_gb
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,12079595520,1.120060073499112,10.044104121,1.120060073499112,0.0,110000000.0,uniform,1.2026553463085106
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,15300820992,1.418927728865587,10.042794788,1.418927728865587,0.0,110000000.0,uniform,1.523562047716313
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,15971909632,1.484592933806058,10.019581571,1.484592933806058,0.0,110000000.0,uniform,1.5940695246424281
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,18924699648,1.757627230547053,10.027723566,1.757627230547053,0.0,110000000.0,uniform,1.8872378684396613
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,24159191040,2.244620085600353,10.02396804,2.244620085600353,0.0,110000000.0,uniform,2.4101424648995593
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,31943819264,2.9741948051629823,10.00270727,2.9741948051629823,0.0,110000000.0,uniform,3.1935173550270255
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,39124467712,3.643515706272969,10.000643043,3.643515706272969,0.0,110000000.0,uniform,3.912195200226186
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,8192,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,45432700928,4.228205473883402,10.007200516,4.228205473883402,0.0,110000000.0,uniform,4.540001057774348
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,16384,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,49459232768,4.600372462933163,10.01277622,4.600372462933163,0.0,110000000.0,uniform,4.939612319429227
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,32768,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,52076478464,4.848245477655758,10.003618881,4.848245477655758,0.0,110000000.0,uniform,5.205763942377845
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,65536,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,54089744384,5.033503520518843,10.007939757,5.033503520518843,0.0,110000000.0,uniform,5.404683251232324
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,24293408768,2.254546417910534,10.03527797,1.127273208955267,0.009004207581336,110000000.0,uniform,2.4208007830599234
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,30668750848,2.853460828500004,10.009774697,1.426730414250002,0.012345516275734,110000000.0,uniform,3.0638802347061453
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,32145145856,2.9867353158044363,10.023486126,1.4933676579022181,0.012487635572739,110000000.0,uniform,3.2069826257970715
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,37782290432,3.506833265410328,10.033981469,1.753416632705164,0.015419930121406002,110000000.0,uniform,3.7654335468655615
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,47647293440,4.427320233367106,10.022993066,2.213660116683553,0.003228864207924,110000000.0,uniform,4.753798902807702
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,62948114432,5.853650524307983,10.015117875,2.926825262153991,0.002017083607951,110000000.0,uniform,6.28530939102901
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,77913391104,7.246150448833584,10.013937816,3.623075224416792,0.031864801136273005,110000000.0,uniform,7.7804947999089915
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,8192,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,90798292992,8.450155209787814,10.007212637,4.225077604893907,0.038362501098069005,110000000.0,uniform,9.07328506804067
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,16384,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,98985574400,9.210421028237711,10.009042987,4.6052105141188555,0.037804726640872005,110000000.0,uniform,9.889614274667917
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,32768,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,104421392384,9.716465172618308,10.008783881,4.858232586309154,0.043186299662973,110000000.0,uniform,10.432975037279657
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,65536,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,108380815360,10.081041118771237,10.012606715,5.040520559385619,0.046043766734518,110000000.0,uniform,10.824435478688429
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,3,read,-1,10,False,36373004288,3.369247810225541,10.054172892,1.123082603408513,0.007830276286806001,110000000.0,uniform,3.6177022892595785
2,random_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,3,read,-1,10,False,45902462976,4.258327241048311,10.039153306,1.41944241368277,0.000126929968184,110000000.0,uniform,4.572344058992101
