,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,number_operations,random_distribution,bandwidth_gb
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,35097935872,3.268324449449222,10.001302045,3.268324449449222,0.0,110000000.0,uniform,3.5093366557754035
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,96032784384,8.938093174679723,10.006328895,8.938093174679723,0.0,110000000.0,uniform,9.597204468462557
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,147438174208,13.730280185000609,10.000706333,13.730280185000609,0.0,110000000.0,uniform,14.742776089873612
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,118782689280,11.056851230510267,10.005108841,11.056851230510267,0.0,110000000.0,uniform,11.872203607944739
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,143612968960,13.369600086709939,10.004038949,13.369600086709939,0.0,110000000.0,uniform,14.35549878325449
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,151397597184,14.095017650875716,10.00353483,14.095017650875716,0.0,110000000.0,uniform,15.134409961763488
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,166765527040,15.530493623028226,10.000487027,15.530493623028226,0.0,110000000.0,uniform,16.675740550410698
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,8192,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,173207977984,16.129843274430442,10.000872126,16.129843274430442,0.0,110000000.0,uniform,17.319287338321075
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,16384,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,172335562752,16.047017547854907,10.001858571,16.047017547854907,0.0,110000000.0,uniform,17.230353891593737
1,random_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,32768,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,171328929792,15.951990848752166,10.002669981,15.951990848752166,0.0,110000000.0,uniform,17.12831975037046
