,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,number_operations,random_distribution,bandwidth_gb
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,55029268480,5.123344213537351,10.003231847,5.123344213537351,0.0,,,5.501148960823441
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,54425288704,5.06625007258056,10.004934473,5.06625007258056,0.0,,,5.439844593772784
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,54693724160,5.092392084624,10.002666557,5.092392084624,0.0,,,5.467914365467336
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56170119168,5.226511851847635,10.009065603,5.226511851847635,0.0,,,5.611924368960497
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56237228032,5.237469206823546,10.000058794,5.237469206823546,0.0,,,5.623689739278547
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56304336896,5.240327444152101,10.006531187,5.240327444152101,0.0,,,5.626758748241135
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56304336896,5.241641649237786,10.00402231,5.241641649237786,0.0,,,5.6281698652069485
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,8192,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56304336896,5.241933384920948,10.003465544,5.241933384920948,0.0,,,5.628483114011513
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,16384,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56304336896,5.243173882675358,10.001098795,5.243173882675358,0.0,,,5.629815088333001
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,32768,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56371445760,5.244394181051809,10.010689164,5.244394181051809,0.0,,,5.6311253737375555
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,65536,0,none,7516192768,67108864,8,0,1,1,read,-1,10,False,56371445760,5.243951202971235,10.011534808,5.243951202971235,0.0,,,5.630649729645329
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,110326972416,10.264553611873803,10.010177148,5.132276805936901,0.052607304298423,,,11.021480517759166
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,108313706496,10.081171439784493,10.006277604,5.040585719892246,0.042426590968222,,,10.824575409810908
3,sequential_reads,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,2,read,-1,10,False,109387448320,10.179252471395577,10.008102293,5.089626235697788,0.044566884017316004,,,10.929889115592795
