,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,tag,access_size,exec_mode,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,threads,number_operations,random_distribution,bandwidth_gb
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,169382772736,15.774499288998468,10.000317418,15.774499288998468,0.0,"[{'accessed_bytes': 169382772736, 'bandwidth': 15.774499288998468, 'execution_time': 10.000317418}]",,,16.93773963925592
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,171127603200,15.936782333224292,10.000450321,15.936782333224292,0.0,"[{'accessed_bytes': 171127603200, 'bandwidth': 15.936782333224292, 'execution_time': 10.000450321}]",,,17.111989731167228
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,172738215936,16.08358136567726,10.002436419,16.08358136567726,0.0,"[{'accessed_bytes': 172738215936, 'bandwidth': 16.08358136567726, 'execution_time': 10.002436419}]",,,17.269613992034714
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,164282499072,15.295305587751967,10.003069185,15.295305587751967,0.0,"[{'accessed_bytes': 164282499072, 'bandwidth': 15.295305587751967, 'execution_time': 10.003069185}]",,,16.42320932043019
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,168174813184,15.662382696584796,10.000074895,15.662382696584796,0.0,"[{'accessed_bytes': 168174813184, 'bandwidth': 15.662382696584796, 'execution_time': 10.000074895}]",,,16.817355364816997
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,169047228416,15.740790037304144,10.001880441,15.740790037304144,0.0,"[{'accessed_bytes': 169047228416, 'bandwidth': 15.740790037304144, 'execution_time': 10.001880441}]",,,16.90154460585598
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,171328929792,15.955420807949407,10.000519693,15.955420807949407,0.0,"[{'accessed_bytes': 171328929792, 'bandwidth': 15.955420807949407, 'execution_time': 10.000519693}]",,,17.132002641015152
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,173073760256,16.1151982215926,10.002203993,16.1151982215926,0.0,"[{'accessed_bytes': 173073760256, 'bandwidth': 16.1151982215926, 'execution_time': 10.002203993}]",,,17.303562332574394
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,173342195712,16.142468751270002,10.000793713,16.142468751270002,0.0,"[{'accessed_bytes': 173342195712, 'bandwidth': 16.142468751270002, 'execution_time': 10.000793713}]",,,17.332843840851655
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,171731582976,15.990112431709067,10.002274886,15.990112431709067,0.0,"[{'accessed_bytes': 171731582976, 'bandwidth': 15.990112431709067, 'execution_time': 10.002274886}]",,,17.16925248838837
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,65536,sequential,0,none,7516192768,67108864,[8],[0],1,1,write,-1,10,False,153276645376,14.272630781826319,10.001659973,14.272630781826319,0.0,"[{'accessed_bytes': 153276645376, 'bandwidth': 14.272630781826319, 'execution_time': 10.001659973}]",,,15.32512060895674
0,0,sequential_writes,single,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,0,none,7516192768,67108864,[8],[0],1,2,write,-1,10,False,331383570432,30.862169685284073,10.000107029,15.431084842642036,0.15907031577720301,"[{'accessed_bytes': 164483825664, 'bandwidth': 15.318646669600755, 'execution_time': 10.000067454}, {'accessed_bytes': 166899744768, 'bandwidth': 15.543606052218712, 'execution_time': 10.000092609}]",,,33.13800237047443
