,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,explicit_hugepages_size,flush_instruction,memory_region_size,min_io_chunk_size,numa_memory_nodes,numa_task_nodes,number_partitions,number_threads,operation,percentage_pages_first_node,run_time,transparent_huge_pages,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,number_operations,random_distribution,bandwidth_gb
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,169382772736,15.774499288998468,10.000317418,15.774499288998468,0.0,,,16.93773963925592
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,171127603200,15.936782333224292,10.000450321,15.936782333224292,0.0,,,17.111989731167228
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,172738215936,16.08358136567726,10.002436419,16.08358136567726,0.0,,,17.269613992034714
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,164282499072,15.295305587751967,10.003069185,15.295305587751967,0.0,,,16.42320932043019
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,168174813184,15.662382696584796,10.000074895,15.662382696584796,0.0,,,16.817355364816997
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,169047228416,15.740790037304144,10.001880441,15.740790037304144,0.0,,,16.90154460585598
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,171328929792,15.955420807949407,10.000519693,15.955420807949407,0.0,,,17.132002641015152
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,8192,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,173073760256,16.1151982215926,10.002203993,16.1151982215926,0.0,,,17.303562332574394
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,16384,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,173342195712,16.142468751270002,10.000793713,16.142468751270002,0.0,,,17.332843840851655
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,32768,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,171731582976,15.990112431709067,10.002274886,15.990112431709067,0.0,,,17.16925248838837
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,65536,0,none,7516192768,67108864,8,0,1,1,write,-1,10,False,153276645376,14.272630781826319,10.001659973,14.272630781826319,0.0,,,15.32512060895674
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,64,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,331383570432,30.862169685284073,10.000107029,15.431084842642036,0.15907031577720301,,,33.13800237047443
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,128,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,340644593664,31.716496211095674,10.002681188,15.858248105547837,0.6962817821074261,,,34.05532849259096
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,256,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,344000036864,32.02798827359493,10.002969817,16.013994136797464,0.6460634023505241,,,34.38979054794043
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,512,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,323330506752,30.101396949228292,10.00368855,15.050698474614146,0.008016214282104,,,32.32112886521242
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,1024,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,331316461568,30.851369220835156,10.00158203,15.425684610417578,0.24233045073858503,,,33.126405460077
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,2048,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,334403469312,31.136228994068517,10.002415516,15.568114497034259,0.200971079484301,,,33.432271312572816
0,sequential_writes,gcc 12.3,9c384f0d50f57e6cea911baa7466a02dd8bb53a1-dirty,gp03,none,,4096,0,none,7516192768,67108864,8,0,1,2,write,-1,10,False,335678537728,31.260819124512167,10.000537694,15.630409562256084,0.008947663863992001,,,33.56604894648778
