,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,number_operations,random_distribution,bandwidth_gb
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,845773012992,77.38566296824078,10.178726521,1.209150983878762,0.14582552771742102,97.96875,12.433912599808739,110000000.0,uniform,83.09222290696812
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,256,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,858590806016,79.59091537378544,10.046686814,1.243608052715397,0.20459610056933603,196.015625,33.302124527060926,110000000.0,uniform,85.46009464727803
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,512,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,841880698880,77.97440123904686,10.055383402,1.2183500193601071,0.10914767647507301,392.375,35.701362741319855,110000000.0,uniform,83.72437581172204
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,1024,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,844766380032,77.63347777085538,10.134158904,1.213023090169615,0.040763456485832,777.375,23.398209129678932,110000000.0,uniform,83.35831202514171
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,2048,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,834498723840,77.39782096476064,10.041464867,1.209340952574385,0.017003410926314,1572.78125,21.547635490654077,110000000.0,uniform,83.10527745632754
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,4096,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,839062126592,77.50840663828193,10.081970897,1.211068853723155,0.038716115627156,3130.765625,88.4070208710016,110000000.0,uniform,83.22401791912255
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,8192,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,839867432960,77.59831259080244,10.079955013,1.212473634231288,0.030385622323645,6256.3125,144.89841816700962,110000000.0,uniform,83.32055370057037
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,16384,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,839062126592,77.54763258543329,10.07687113,1.211681759147395,0.023230391533699,12517.453125,220.18144968123485,110000000.0,uniform,83.26613645916498
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,32768,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,845840121856,77.7798482976902,10.12794467,1.215310129651409,0.045644742384154,24856.234375,815.1060451446482,110000000.0,uniform,83.51547618160517
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,65536,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,836377772032,77.460763881002,10.055897476,1.210324435640656,0.029974664821006,50252.765625,1163.8753239042633,110000000.0,uniform,83.1728618980204
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,777053536256,72.31782453283756,10.007041897,8.03531383698195,1.129135633828208,14.333333333333334,2.6457513110645903,110000000.0,uniform,77.65067282160096
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,256,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1028376231936,95.71495426673376,10.006273391,10.634994918525972,2.244661851714201,23.22222222222222,6.49572508996836,110000000.0,uniform,102.77314957843929
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,512,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1067903352832,99.40893292852805,10.004759841,11.045436992058672,2.363119858753785,45.111111111111114,12.584161120675112,110000000.0,uniform,106.73952896457138
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,1024,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1071527231488,99.74296992640085,10.005091093,11.082552214044538,2.920894977022653,93.66666666666667,35.092734290733176,110000000.0,uniform,107.0981984599508
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,2048,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1063541276672,98.9949523322334,10.005560654,10.999439148025933,2.946085636952617,190.22222222222223,74.06209856900117,110000000.0,uniform,106.29502068400535
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,4096,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1061662228480,98.80561494257395,10.00702238,10.978401660285995,2.940779022183871,382.44444444444446,150.17415815571525,110000000.0,uniform,106.09172120988102
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,8192,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1058642329600,98.53667069232905,10.005792697,10.948518965814339,2.913527629536999,766.8888888888889,300.23759110263177,110000000.0,uniform,105.80294452006875
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,16384,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1055353995264,98.25350512238245,10.003459915,10.91705612470916,2.897525456768068,1538.4444444444443,601.7643041738,110000000.0,uniform,105.49889780450029
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,32768,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1051394572288,97.86463120147181,10.005529965,10.873847911274645,2.8743728583835852,3086.0,1200.4748019013143,110000000.0,uniform,105.08134761135565
5,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,65536,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,9,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4]",single-fixed,1048307564544,97.57118391075913,10.00615613,10.841242656751014,2.849193308991154,6180.444444444444,2375.928929445866,110000000.0,uniform,104.76626098217797
8,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,14,write,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28, 36, 44]",single-fixed,944154607616,87.85307332772781,10.00889857,6.275219523409129,0.9345653570776561,19.0,2.148344622118298,110000000.0,uniform,94.33151919892022
