,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,number_operations,random_distribution,bandwidth_gb
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,107843944448,9.793947807107774,10.255057713,0.15303043448605802,0.008524324204494001,772.84375,40.20195792041628,110000000.0,uniform,10.516171382564702
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,256,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,107508400128,9.740320648651325,10.27943572,0.152192510135176,0.008187778408985,1553.71875,80.08417570539575,110000000.0,uniform,10.458589659627737
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,512,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,107105746944,9.710329565176362,10.272565862,0.15172389945588002,0.009558625107777,3116.09375,176.5673322488062,110000000.0,uniform,10.426386978953595
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,1024,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,115024592896,10.476444487748017,10.225320253,0.16369444512106202,0.006278776599607,5775.421875,210.41393857260246,110000000.0,uniform,11.248996613309302
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,2048,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,114487721984,10.368142490634789,10.283905733,0.16200222641616802,0.008422859262687,11632.03125,551.3595309244865,110000000.0,uniform,11.132708229386102
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,4096,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,110595407872,10.037107723214788,10.26192035,0.156829808175231,0.007197273528919,24090.265625,1030.3278295086088,110000000.0,uniform,10.777262354409135
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,8192,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,109253230592,9.89721532270671,10.28066953,0.15464398941729202,0.007768916273331001,48702.234375,2219.16648689939,110000000.0,uniform,10.627054033123853
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,16384,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,108984795136,9.917338696656676,10.234600542,0.15495841713526,0.0071502194249840004,97563.53125,4242.240651476491,110000000.0,uniform,10.648661341373924
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,32768,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,107911053312,9.804616645265602,10.250273278,0.153197135082275,0.007118651207551001,197193.171875,8540.285234734552,110000000.0,uniform,10.527626960308249
1,random_writes,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,65536,none,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,64,write,10,[],all-numa,104891154432,9.53291006431311,10.247395532,0.14895171975489202,0.008560088759604,405071.484375,21461.87530822467,110000000.0,uniform,10.235884240483518
