,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,custom_operations,exec_mode,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_operations,number_partitions,number_threads,thread_cores,thread_pin_mode,execution_time,num_operations,ops_per_second,thread_ops_per_second_avg,thread_ops_per_second_std_dev,threads
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,1,[],all-numa,89.355535411,100006410,1119196.584072942,1119196.584072942,0.0,"[{'execution_time': 89.355535411, 'num_operations': 100006410, 'ops_per_second': 1119196.584072942}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,1,[],all-numa,152.604171735,100006410,655332.0847195645,655332.0847195645,0.0,"[{'execution_time': 152.604171735, 'num_operations': 100006410, 'ops_per_second': 655332.0847195645}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,1,[],all-numa,243.552877855,100006410,410614.7744209335,410614.7744209335,0.0,"[{'execution_time': 243.552877855, 'num_operations': 100006410, 'ops_per_second': 410614.7744209335}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,1,[],all-numa,282.651682416,100006410,353815.0176400257,353815.0176400257,0.0,"[{'execution_time': 282.651682416, 'num_operations': 100006410, 'ops_per_second': 353815.0176400257}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,4,[],all-numa,22.558874098,100006410,4433129.488889974,1108282.3722224934,7308.751304355174,"[{'execution_time': 22.556982518, 'num_operations': 24955728, 'ops_per_second': 1106341.594230782}, {'execution_time': 22.555295005, 'num_operations': 24863979, 'ops_per_second': 1102356.6304270555}, {'execution_time': 22.558865618, 'num_operations': 25244082, 'ops_per_second': 1119031.5340970617}, {'execution_time': 22.554785493, 'num_operations': 24942621, 'ops_per_second': 1105868.242805549}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,4,[],all-numa,38.205975608,100006410,2617559.3845864134,654389.8461466033,2655.991055336437,"[{'execution_time': 38.205234253, 'num_operations': 24942621, 'ops_per_second': 652858.737492008}, {'execution_time': 38.205970839, 'num_operations': 24929514, 'ops_per_second': 652503.0892436419}, {'execution_time': 38.188546266, 'num_operations': 25139226, 'ops_per_second': 658292.3011757045}, {'execution_time': 38.18592738, 'num_operations': 24995049, 'ops_per_second': 654561.790558771}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,4,[],all-numa,55.49864409,100006410,1801961.320673411,450490.33016835275,22078.66684590414,"[{'execution_time': 55.481362019, 'num_operations': 25558650, 'ops_per_second': 460670.91848335037}, {'execution_time': 55.49864409, 'num_operations': 23173176, 'ops_per_second': 417544.9036632491}, {'execution_time': 55.475138794, 'num_operations': 25676613, 'ops_per_second': 462849.00873068377}, {'execution_time': 55.470131937, 'num_operations': 25597971, 'ops_per_second': 461473.0505612066}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,4,[],all-numa,69.786757697,100006410,1433028.4612763876,358257.1153190969,3850.7569813020878,"[{'execution_time': 69.752052089, 'num_operations': 25034370, 'ops_per_second': 358905.1397091148}, {'execution_time': 69.774823609, 'num_operations': 24614946, 'ops_per_second': 352776.90041806153}, {'execution_time': 69.786756097, 'num_operations': 25217868, 'ops_per_second': 361356.07112828776}, {'execution_time': 69.761116121, 'num_operations': 25139226, 'ops_per_second': 360361.57959967625}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,8,[],all-numa,11.405567966,100006410,8768209.553274253,1096026.1941592817,11719.442455417666,"[{'execution_time': 11.40067561, 'num_operations': 12569613, 'ops_per_second': 1102532.2910665642}, {'execution_time': 11.401607623, 'num_operations': 12425436, 'ops_per_second': 1089796.84364288}, {'execution_time': 11.39530987, 'num_operations': 12622041, 'ops_per_second': 1107652.2836144692}, {'execution_time': 11.405552702, 'num_operations': 12517185, 'ops_per_second': 1097464.1323436322}, {'execution_time': 11.394285696, 'num_operations': 12333687, 'ops_per_second': 1082444.9490791494}, {'execution_time': 11.397765329, 'num_operations': 12608934, 'ops_per_second': 1106263.6960877192}, {'execution_time': 11.395830454, 'num_operations': 12294366, 'ops_per_second': 1078847.7460793222}, {'execution_time': 11.397149, 'num_operations': 12635148, 'ops_per_second': 1108623.5689293875}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,8,[],all-numa,19.184569669,100006410,5212856.567827975,651607.0709784969,3276.963984495436,"[{'execution_time': 19.182785292, 'num_operations': 12517185, 'ops_per_second': 652521.7693605827}, {'execution_time': 19.184569669, 'num_operations': 12451650, 'ops_per_second': 649045.0510401804}, {'execution_time': 19.174054483, 'num_operations': 12582720, 'ops_per_second': 656236.7918144817}, {'execution_time': 19.177059932, 'num_operations': 12504078, 'ops_per_second': 652033.1085337509}, {'execution_time': 19.180478092, 'num_operations': 12451650, 'ops_per_second': 649183.5052429411}, {'execution_time': 19.177479874, 'num_operations': 12569613, 'ops_per_second': 655436.1200003834}, {'execution_time': 19.169903353, 'num_operations': 12399222, 'ops_per_second': 646806.7038042516}, {'execution_time': 19.182595497, 'num_operations': 12530292, 'ops_per_second': 653211.5011214011}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,8,[],all-numa,28.527850986,100006410,3505571.101345068,438196.3876681335,24854.33020551229,"[{'execution_time': 28.516656527, 'num_operations': 13002144, 'ops_per_second': 455949.104260851}, {'execution_time': 28.498499795, 'num_operations': 11848728, 'ops_per_second': 415766.72755521093}, {'execution_time': 28.522162907, 'num_operations': 13067679, 'ops_per_second': 458158.76736307715}, {'execution_time': 28.508999973, 'num_operations': 13015251, 'ops_per_second': 456531.3063357657}, {'execution_time': 28.527810057, 'num_operations': 11560374, 'ops_per_second': 405231.7362216655}, {'execution_time': 28.499228892, 'num_operations': 12936609, 'ops_per_second': 453928.3869407227}, {'execution_time': 28.496510775, 'num_operations': 11547267, 'ops_per_second': 405216.8734331651}, {'execution_time': 28.515328828, 'num_operations': 13028358, 'ops_per_second': 456889.6286830503}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,1,18446744073709551615,5368709120,False,0,18446744073709551615,1,18446744073709551615,8589934592,False,67108864,[0],100000000,1,8,[],all-numa,35.437259268,100006410,2822069.541091916,352758.6926364895,6554.469024739753,"[{'execution_time': 35.43725914, 'num_operations': 12635148, 'ops_per_second': 356549.8096250341}, {'execution_time': 35.407308295, 'num_operations': 12386115, 'ops_per_second': 349818.0346498999}, {'execution_time': 35.410596819, 'num_operations': 12700683, 'ops_per_second': 358668.9901025698}, {'execution_time': 35.409135007, 'num_operations': 12661362, 'ops_per_second': 357573.3210511069}, {'execution_time': 35.437055745, 'num_operations': 12189510, 'ops_per_second': 343976.37568182795}, {'execution_time': 35.426528944, 'num_operations': 12674469, 'ops_per_second': 357767.73445784074}, {'execution_time': 35.425958951, 'num_operations': 12137082, 'ops_per_second': 342604.1908078651}, {'execution_time': 35.401953789, 'num_operations': 12622041, 'ops_per_second': 356535.1526988855}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,12,[],all-numa,7.758758001,100006410,12889486.94972965,1074123.9124774707,10033.050979646638,"[{'execution_time': 7.74774729, 'num_operations': 8401587, 'ops_per_second': 1084390.944299888}, {'execution_time': 7.75035395, 'num_operations': 8244303, 'ops_per_second': 1063732.4505676285}, {'execution_time': 7.758693872, 'num_operations': 8414694, 'ops_per_second': 1084550.3300971068}, {'execution_time': 7.751408811, 'num_operations': 8336052, 'ops_per_second': 1075424.120086446}, {'execution_time': 7.752132438, 'num_operations': 8204982, 'ops_per_second': 1058416.1281585163}, {'execution_time': 7.753004194, 'num_operations': 8414694, 'ops_per_second': 1085346.24636371}, {'execution_time': 7.753155683, 'num_operations': 8191875, 'ops_per_second': 1056585.9032035123}, {'execution_time': 7.758097704, 'num_operations': 8388480, 'ops_per_second': 1081254.7508489073}, {'execution_time': 7.752081845, 'num_operations': 8375373, 'ops_per_second': 1080403.066874483}, {'execution_time': 7.75854347, 'num_operations': 8349159, 'ops_per_second': 1076124.5370711314}, {'execution_time': 7.754745017, 'num_operations': 8349159, 'ops_per_second': 1076651.6476940147}, {'execution_time': 7.749243022, 'num_operations': 8336052, 'ops_per_second': 1075724.6838606116}]"
