,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,number_operations,random_distribution,bandwidth_gb
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,81671487488,7.604252995411953,10.002626168,7.604252995411953,0.0,7.0,0.0,110000000.0,uniform,8.165004481451094
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,93751083008,8.725288891354715,10.00683199,8.725288891354715,0.0,13.0,0.0,110000000.0,uniform,9.36870760913015
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,78248935424,7.281274481920987,10.008550039,7.281274481920987,0.0,32.0,0.0,110000000.0,uniform,7.818208943262497
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,62142808064,5.783500419706402,10.006915501,5.783500419706402,0.0,82.0,0.0,110000000.0,uniform,6.209986289760318
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,62881005568,5.8538117463307895,10.004165241,5.8538117463307895,0.0,162.0,0.0,110000000.0,uniform,6.285482501857848
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,75229036544,7.002117518291524,10.00590176,7.002117518291524,0.0,272.0,0.0,110000000.0,uniform,7.5184664359526945
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,99992207360,9.307244086646616,10.005647121,9.307244086646616,0.0,409.0,0.0,110000000.0,uniform,9.993577242009152
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,128379256832,11.954631461250997,10.001353901,11.954631461250997,0.0,638.0,0.0,110000000.0,uniform,12.836187790451431
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,156229435392,14.544262244911595,10.00394503,14.544262244911595,0.0,1049.0,0.0,110000000.0,uniform,15.616782671585712
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,178308251648,16.603118243462575,10.001886246,16.603118243462575,0.0,1838.0,0.0,110000000.0,uniform,17.82746246682318
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,191260262400,17.806773651431563,10.003215826,17.806773651431563,0.0,3427.0,0.0,110000000.0,uniform,19.11987762004327
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,328430780416,30.564850482999308,10.007410315,7.641212620749827,0.047650647314050006,7.0,0.0,110000000.0,uniform,32.81875830790296
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,374534569984,34.85794078083497,10.006686918,8.714485195208743,0.038209052429271,13.0,0.0,110000000.0,uniform,37.42842891489773
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,310714040320,28.916714703063167,10.007187987,7.229178675765792,0.0341388703352,32.5,0.5773502691896251,110000000.0,uniform,31.049085989354666
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,248504123392,23.126147932583475,10.007611327,5.781536983145869,0.013732303507846001,82.0,0.0,110000000.0,uniform,24.83151226322601
