,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,tag,access_size,exec_mode,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,threads,number_operations,random_distribution,bandwidth_gb
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,349637181440,32.55741846417205,10.001560792,32.55741846417205,0.0,1.0,0.0,"[{'accessed_bytes': 349637181440, 'bandwidth': 32.55741846417205, 'execution_time': 10.001560792}]",,,34.95826188645138
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,389902499840,36.308930625158645,10.000983057,36.308930625158645,0.0,3.0,0.0,"[{'accessed_bytes': 389902499840, 'bandwidth': 36.308930625158645, 'execution_time': 10.000983057}]",,,38.9864173969473
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,410303594496,38.212010729593416,10.000128041,38.212010729593416,0.0,6.0,0.0,"[{'accessed_bytes': 410303594496, 'bandwidth': 38.212010729593416, 'execution_time': 10.000128041}]",,,41.02983409950121
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,419765944320,39.08828793163579,10.001397367,39.08828793163579,0.0,12.0,0.0,"[{'accessed_bytes': 419765944320, 'bandwidth': 39.08828793163579, 'execution_time': 10.001397367}]",,,41.9707295807518
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,425805742080,39.651577501723935,10.001178389,39.651577501723935,0.0,24.0,0.0,"[{'accessed_bytes': 425805742080, 'bandwidth': 39.651577501723935, 'execution_time': 10.001178389}]",,,42.57555715117842
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,429765165056,40.022190054042966,10.000702097,40.022190054042966,0.0,47.0,0.0,"[{'accessed_bytes': 429765165056, 'bandwidth': 40.022190054042966, 'execution_time': 10.000702097}]",,,42.97349934910275
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,432852172800,40.31085603863795,10.000407821,40.31085603863795,0.0,94.0,0.0,"[{'accessed_bytes': 432852172800, 'bandwidth': 40.31085603863795, 'execution_time': 10.000407821}]",,,43.28345208992853
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,433993023488,40.41474969553596,10.000989813,40.41474969553596,0.0,188.0,0.0,"[{'accessed_bytes': 433993023488, 'bandwidth': 40.41474969553596, 'execution_time': 10.000989813}]",,,43.39500705458823
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,434999656448,40.51235061475835,10.000036874,40.51235061475835,0.0,376.0,0.0,"[{'accessed_bytes': 434999656448, 'bandwidth': 40.51235061475835, 'execution_time': 10.000036874}]",,,43.49980524361815
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,none,0,18446744073709551615,0,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,435066765312,40.51757344259886,10.000290382,40.51757344259886,0.0,753.0,0.0,"[{'accessed_bytes': 435066765312, 'bandwidth': 40.51757344259886, 'execution_time': 10.000290382}]",,,43.50541321231006
