,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,number_operations,random_distribution,bandwidth_gb
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,25904021504,2.410496523768908,10.008311467,2.410496523768908,0.0,24.0,0.0,110000000.0,uniform,2.5882509341772866
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,26642219008,2.47662596150812,10.018670718,2.47662596150812,0.0,48.0,0.0,110000000.0,uniform,2.659256877275483
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,19394461696,1.8040955824312281,10.011941815,1.8040955824312281,0.0,132.0,0.0,110000000.0,uniform,1.9371328813500495
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,17582522368,1.635703657648252,10.010982077,1.635703657648252,0.0,291.0,0.0,110000000.0,uniform,1.7563234288867058
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,18589155328,1.7272342024152592,10.023249873,1.7272342024152592,0.0,552.0,0.0,110000000.0,uniform,1.8546036029765456
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,22951231488,2.133498632275861,10.018754958,2.133498632275861,0.0,894.0,0.0,110000000.0,uniform,2.290826712921388
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,27380416512,2.545869156211639,10.016225672,2.545869156211639,0.0,1498.0,0.0,110000000.0,uniform,2.733606191456026
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,35299262464,3.2821111814065502,10.016418757,3.2821111814065502,0.0,2324.0,0.0,110000000.0,uniform,3.5241400464942645
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,43218108416,4.022377498765348,10.006519779,4.022377498765348,0.0,3793.0,0.0,110000000.0,uniform,4.318994952340862
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,48117055488,4.475354779394624,10.013172633,4.475354779394624,0.0,6819.0,0.0,110000000.0,uniform,4.805375603874301
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,50801410048,4.730793150143967,10.000965694,4.730793150143967,0.0,12901.0,0.0,110000000.0,uniform,5.079650466002289
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,104689827840,9.735711722466862,10.014676151,2.433927930616715,0.008979188275928,24.0,0.0,110000000.0,uniform,10.45364086281975
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,105293807616,9.790297652780458,10.016294037,2.447574413195114,0.0032393268289970002,48.0,0.0,110000000.0,uniform,10.512252059199408
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,77108084736,7.157562184659308,10.033094809,1.789390546164827,0.01406170094195,132.25,0.9574271077563381,110000000.0,uniform,7.6853738755495105
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,69927436288,6.492139704630737,10.031361456,1.623034926157684,0.006520933983819001,293.0,0.816496580927726,110000000.0,uniform,6.9708819281130285
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,73953968128,6.874418278303815,10.019029569,1.718604569575953,0.007116223629912001,554.0,2.0,110000000.0,uniform,7.381350421084878
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,91200946176,8.472092209499332,10.025563686,2.118023052374833,0.010810842548019001,899.25,4.5,110000000.0,uniform,9.096839742124002
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,110192754688,10.244124541163952,10.017937559,2.561031135290988,0.017566362397050003,1488.5,10.408329997330663,110000000.0,uniform,10.999544970112545
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,140525961216,13.069518405044663,10.013758422,3.267379601261165,0.013983085369449002,2333.5,10.246950765959598,110000000.0,uniform,14.033288531034229
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,170389405696,15.851388175843628,10.010952873,3.962847043960907,0.017312358344797,3848.25,16.938614661968867,110000000.0,uniform,17.02029845286237
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,190186520576,17.68800626270123,10.013847653,4.422001565675307,0.020653332804661,6898.25,32.22188697143605,110000000.0,uniform,18.992352107436243
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,200856829952,18.683655554531054,10.012093161,4.6709138886327635,0.014549077384343,13057.5,39.23858645092439,110000000.0,uniform,20.061422394109908
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,208440131584,19.367524421035576,10.023222162,2.420940552629447,0.009070706799403,24.0,0.0,110000000.0,uniform,20.795720998207283
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,210923159552,19.598507713158064,10.023084557,2.449813464144758,0.009875383511278,48.0,0.0,110000000.0,uniform,21.04373741960441
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,154484604928,14.344876529002018,10.029713376,1.793109566125252,0.016293340618758,132.375,1.060660171779821,110000000.0,uniform,15.402693889305418
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,139854872576,12.978486789252752,10.035838701,1.622310848656594,0.009624813958168001,292.875,1.726888200533797,110000000.0,uniform,13.935544077852155
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,148176371712,13.750938218667658,10.035678861,1.718867277333457,0.010915053197801,553.625,3.543101950067402,110000000.0,uniform,14.764957484623523
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,181193932800,16.83975863721137,10.020927475,2.104969829651421,0.013258061726587,905.25,5.625198409199194,110000000.0,uniform,18.081553154839092
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,217365610496,20.194378903622695,10.02444794,2.524297362952837,0.025910825819997003,1508.875,15.188694103557046,110000000.0,uniform,21.683549238522954
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,278636003328,25.92117209247201,10.011121375,3.240146511559001,0.010375882277484,2352.625,7.386038953902926,110000000.0,uniform,27.83264660278879
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,338362892288,31.4642817339462,10.015324763,3.933035216743275,0.013205193153651,3877.0,12.750350135248388,110000000.0,uniform,33.78451525985728
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,376749162496,35.04376359230049,10.012480511,4.380470449037562,0.026242913963461,6962.625,41.362293042265996,110000000.0,uniform,37.627954639421525
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,397552910336,36.975808028378104,10.013303826,4.621976003547263,0.016452702145758002,13199.625,46.77892535258647,110000000.0,uniform,39.70247155626455
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,311653564416,28.952835587135954,10.024924817,2.412736298927996,0.006202372838675,24.0,0.0,110000000.0,uniform,31.087870493303473
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,314740572160,29.238077531945343,10.025453954,2.436506460995445,0.008408444112489,48.25,0.45226701686664506,110000000.0,uniform,31.394146699404413
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,232263778304,21.56231372621823,10.031970722,1.796859477184852,0.013130400963413,132.0,0.9534625892455921,110000000.0,uniform,23.1523580700498
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,209312546816,19.424929256908783,10.035429083,1.618744104742398,0.007685777672709001,293.5833333333333,1.443375672974064,110000000.0,uniform,20.8573589713842
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,221392142336,20.557512225925286,10.029788514,1.7131260188271071,0.008674465293691001,555.5833333333334,2.778434265858555,110000000.0,uniform,22.07346067436732
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,269777633280,25.05408691490147,10.028303999,2.087840576241789,0.007952521933428,912.0,3.490246149173175,110000000.0,uniform,26.90162098266084
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,323800268800,30.083586646319038,10.02415382,2.50696555385992,0.023025399584521003,1519.6666666666667,13.838899938765056,110000000.0,uniform,32.30200519808065
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,414598561792,38.53846613438643,10.019210382,3.211538844532203,0.012460571676766001,2373.0,8.852323783258063,110000000.0,uniform,41.38036292129832
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,501437431808,46.632294059300065,10.01451911,3.886024504941672,0.012926953965377,3923.25,12.505453355890927,110000000.0,uniform,50.07104448053722
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,559486599168,52.03678790790564,10.013348651,4.33639899232547,0.017078157596560003,7031.583333333333,27.214495914471534,110000000.0,uniform,55.87407556333575
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,12,read,10,[],all-numa,590826438656,54.966858799608026,10.010577501,4.580571566634002,0.019808323552919,13317.333333333334,56.966231358160904,110000000.0,uniform,59.020215227041575
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,16,read,10,[],all-numa,414531452928,38.51526907732447,10.02362204,2.407204317332779,0.008840599052707001,24.0,0.0,110000000.0,uniform,41.35545527093718
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,16,read,10,[],all-numa,417954004992,38.826636397452184,10.025334052,2.426664774840761,0.009522522988992001,48.625,0.5,110000000.0,uniform,41.6897833851851
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,16,read,10,[],all-numa,310378496000,28.80435054852118,10.03537641,1.800271909282573,0.012536972367619002,131.75,1.0,110000000.0,uniform,30.928435897104535
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,16,read,10,[],all-numa,277293826048,25.73355393240505,10.035535732,1.608347120775315,0.007458978683034001,295.5625,1.364734406395618,110000000.0,uniform,27.631193137382976
2,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,16,read,10,[],all-numa,293936824320,27.280728705700362,10.034556003,1.705045544106272,0.008971954305092001,558.0625,2.862836588653521,110000000.0,uniform,29.292459400507866
