,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,number_operations,random_distribution,bandwidth_gb
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,51069845504,4.756043702799556,10.000433758,4.756043702799556,0.0,12.0,0.0,,,5.10676304046771
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,52412022784,4.875132778454684,10.012547805,4.875132778454684,0.0,24.0,0.0,,,5.23463396178012
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,53217329152,4.951637025237467,10.00931606,4.951637025237467,0.0,48.0,0.0,,,5.316779771264412
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,53485764608,4.980710683168445,10.001082811,4.980710683168445,0.0,95.0,0.0,,,5.347997373761572
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,54291070976,5.053594789245704,10.005254103,5.053594789245704,0.0,188.0,0.0,,,5.426256086761578
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,54425288704,5.064219128730828,10.008946831,5.064219128730828,0.0,376.0,0.0,,,5.4376638844191305
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,54492397568,5.073882137001834,10.002203171,5.073882137001834,0.0,751.0,0.0,,,5.448039460545368
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,54492397568,5.070487347388622,10.00889984,5.070487347388622,0.0,1504.0,0.0,,,5.444394332953981
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,54223962112,5.04744028000169,10.005071323,5.04744028000169,0.0,3023.0,0.0,,,5.419647732780086
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,53754200064,5.002082833819888,10.008330862,5.002082833819888,0.0,6100.0,0.0,,,5.370945545784856
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,read,10,[],all-numa,53016002560,4.9325585160193475,10.010018095,4.9325585160193475,0.0,12373.0,0.0,,,5.296294377977348
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,204816252928,19.053310726610288,10.011383467,4.763327681652572,0.013474427593444001,12.0,0.0,,,20.458336612829296
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,209715200000,19.51315697156651,10.00927222,4.878289242891627,0.013968655348081001,24.0,0.0,,,20.952092758648142
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,211594248192,19.683105989864213,10.011758312,4.920776497466053,0.017378806099595002,48.0,0.0,,,21.134574127542127
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,213070643200,19.822283624456077,10.010829416,4.955570906114019,0.017182761498666002,95.75,0.5,,,21.2840149747688
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,1024,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,215956324352,20.090090079093347,10.011154714,5.022522519773337,0.011729285579683,189.25,0.5,,,21.571569965849996
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,2048,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,215956324352,20.100549198373557,10.00594551,5.025137299593389,0.0037518697091740005,379.0,0.0,,,21.582800359663363
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,4096,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,216224759808,20.11993425518263,10.008730518,5.029983563795658,0.025145758900985003,757.5,3.872983346207417,,,21.60361490591988
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,8192,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,217164283904,20.200462514344196,10.012146992,5.050115628586049,0.025574551351968,1509.5,7.767453465154029,,,21.690081465795565
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,16384,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,217231392768,20.22258859250451,10.004283036,5.055647148126128,0.020241745754210002,3016.75,11.954775893619532,,,21.713839161317388
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,32768,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,213607514112,19.871443871057263,10.011225218,4.967860967764316,0.016176973865172,6140.75,19.98958061924595,,,21.33680038762265
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,65536,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,4,read,10,[],all-numa,211191595008,19.648416549267107,10.010348646,4.912104137316777,0.013408357246589,12421.5,33.55095627052479,,,21.097326624321852
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,64,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,406679715840,37.835433489489155,10.010457528,4.729429186186144,0.010914621704600001,12.0,0.0,,,40.625487366834776
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,128,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,416209174528,38.722208554582636,10.010405255,4.8402760693228295,0.01556245433519,24.0,0.0,,,41.57765484270597
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,256,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,419765944320,39.06123806207071,10.008323325,4.882654757758838,0.011563946171720001,48.0,0.0,,,41.94168500446603
3,sequential_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,none,,512,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,8,read,10,[],all-numa,422316081152,39.287292163826606,10.011188818,4.910911520478326,0.023871240121559,96.5,0.534522483824848,,,42.18440874800809
