,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,tag,access_size,exec_mode,flush_instruction,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,threads,number_operations,random_distribution,bandwidth_gb
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,64,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,87107305472,8.10961000342287,10.003563669,8.10961000342287,0.0,7.0,0.0,"[{'accessed_bytes': 87107305472, 'bandwidth': 8.10961000342287, 'execution_time': 10.003563669}]",,,8.70762743700392
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,128,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,90395639808,8.414929325039427,10.004540353,8.414929325039427,0.0,14.0,0.0,"[{'accessed_bytes': 90395639808, 'bandwidth': 8.414929325039427, 'execution_time': 10.004540353}]",,,9.035461562298924
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,256,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,91804925952,8.54768005535128,10.002714122,8.54768005535128,0.0,27.0,0.0,"[{'accessed_bytes': 91804925952, 'bandwidth': 8.54768005535128, 'execution_time': 10.002714122}]",,,9.178001573601305
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,512,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,92476014592,8.610872780982309,10.001889726,8.610872780982309,0.0,55.0,0.0,"[{'accessed_bytes': 92476014592, 'bandwidth': 8.610872780982309, 'execution_time': 10.001889726}]",,,9.245854246083898
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,1024,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93012885504,8.661737421503584,10.000880399,8.661737421503584,0.0,110.0,0.0,"[{'accessed_bytes': 93012885504, 'bandwidth': 8.661737421503584, 'execution_time': 10.000880399}]",,,9.300469737974316
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,2048,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,92677341184,8.627841033885067,10.003951123,8.627841033885067,0.0,221.0,0.0,"[{'accessed_bytes': 92677341184, 'bandwidth': 8.627841033885067, 'execution_time': 10.003951123}]",,,9.2640737689058
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,4096,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93549756416,8.70908624807973,10.003919759,8.70908624807973,0.0,438.0,0.0,"[{'accessed_bytes': 93549756416, 'bandwidth': 8.70908624807973, 'execution_time': 10.003919759}]",,,9.351310153386446
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,8192,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93683974144,8.719598780561121,10.006194344,8.719598780561121,0.0,874.0,0.0,"[{'accessed_bytes': 93683974144, 'bandwidth': 8.719598780561121, 'execution_time': 10.006194344}]",,,9.362597899187874
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,16384,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93012885504,8.657201071799209,10.006120833,8.657201071799209,0.0,1762.0,0.0,"[{'accessed_bytes': 93012885504, 'bandwidth': 8.657201071799209, 'execution_time': 10.006120833}]",,,9.295598869568439
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,32768,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93683974144,8.720203841670001,10.005500053,8.720203841670001,0.0,3499.0,0.0,"[{'accessed_bytes': 93683974144, 'bandwidth': 8.720203841670001, 'execution_time': 10.005500053}]",,,9.363247578606554
0,0,sequential_writes,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,ga01,"['access_size', 'flush_instruction', 'number_threads']",none,,65536,sequential,none,0,18446744073709551615,1,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,0,1,1,write,10,[],all-numa,93751083008,8.726724798743891,10.005185452,8.726724798743891,0.0,6994.0,0.0,"[{'accessed_bytes': 93751083008, 'bandwidth': 8.726724798743891, 'execution_time': 10.005185452}]",,,9.3702494029493
