make: 'stream2.exe' is up to date.
 Smallest time delta is    9.5367431640625000E-007
     Size  Iter     FILL      COPY     DAXPY       DOT
       30    10  45589.8  123587.8  136769.4  129552.5     181.2
       43    10  48348.7  105267.4  145046.0  127946.5     134.0
       61    10  49234.8  132230.6  147596.2  143391.1      96.2
       88    10  48488.5  146045.8  145465.4  144163.4      65.7
      126    10  49381.0  146206.5  148252.1  150975.9      46.7
      180    10  50006.1  146205.2  150018.3  142935.4      33.1
      258    10  45064.3  151640.1  134022.8  144147.7      20.8
      368    10  50794.2  150954.3  152845.6  154606.5      16.5
      527    10  51463.0  150973.4  152864.9  148962.7      11.6
      754    10  48339.8  152317.2  144602.8  144758.8       7.6
     1079    10  49402.3  151612.0  147663.2  146161.9       5.5
     1545    10  49987.4  150917.9  149962.1  152461.4       3.9
     2210    10  50441.2  150813.0  151323.7  120136.9       2.7
     3163    10  50930.8  150901.8  152329.7  154374.8       1.9
     4525    10  51152.6  152178.9  147377.9  112064.8       1.3
     6475    10  41667.3  153480.7  124691.2  105299.1       0.8
     9266    10  41623.2  153318.4  123257.8  102447.2       0.5
    13258    10  41550.2  153049.8  131876.9  100724.1       0.4
    18971    10  42845.5  152426.3  124544.6   99020.6       0.3
    27146    10  45295.2  151811.4  121338.3   96088.7       0.2
    38844    10  47143.8  151591.3  122568.2   94961.2       0.1
    55582    10  48640.7  135426.9  104218.9   79026.4       0.1
    79532    10  49714.1   88132.5  118712.2   94432.1       0.1
   113802    10  50439.4   55059.8  110338.0   88200.5       0.1
   162840    10  51065.5   44483.1   98697.5   77003.0       0.0
   233008    10  49680.4   45957.1   89824.2   70996.2       0.0
   333411    10  51697.9   46536.7   73408.2   63384.8       0.0
   477079    10  51062.6   47696.4   65719.3   57921.7       0.0
   682653    10  51532.1   52029.6   47131.8   38272.4       0.0
   976810    10  51616.2   44593.6   39065.9   28675.7       0.0
  1397720    10  51995.2   35052.1   33507.8   22450.8       0.0
  2000000    10  51982.1   30331.7   30652.6   20329.9       0.0
