make: 'stream2.exe' is up to date.
 Smallest time delta is    9.5367431640625000E-007
     Size  Iter     FILL      COPY     DAXPY       DOT
       30    10  45221.2  120265.6  127987.7  128436.7     179.7
       43    10  47900.0  102533.2  143700.1  126978.2     132.8
       61    10  48947.5  133281.1  146415.4  143544.5      95.7
       88    10  48071.7  144785.5  144111.8  141578.2      65.1
      126    10  48948.8  144787.0  146846.4  149462.8      46.3
      180    10  49709.8  144785.7  149129.3  142329.1      32.9
      258    10  44704.0  150281.6  132960.5  139213.2      20.7
      368    10  50488.5  149608.0  151465.5  153194.5      16.4
      527    10  50955.0  149627.0  152864.9  148140.6      11.5
      754    10  48062.8  150946.5  143673.9  143520.2       7.6
     1079    10  48933.8  150760.2  146801.5  144899.1       5.4
     1545    10  49544.3  149572.0  148633.0  151600.1       3.8
     2210    10  50101.9  150137.5  150305.8  119281.8       2.7
     3163    10  50470.9  150225.9  151298.9  125492.7       1.9
     4525    10  50687.9  150638.3  146839.3  111227.1       1.3
     6475    10  50810.6  149871.5  139218.3  103267.9       0.9
     9266    10  50911.5  149712.9  133604.5  100295.3       0.7
    13258    10  51173.1  149450.6  130077.4   98494.0       0.5
    18971    10  51100.1  148201.6  126829.1   96868.0       0.3
    27146    10  51148.8  148257.3  124132.1   95536.5       0.2
    38844    10  51290.7  148211.4  120713.3   92904.0       0.2
    55582    10  52054.1  116981.7  104218.9   79410.9       0.1
    79532    10  52326.5   81560.2  115559.4   94365.3       0.1
   113802    10  52309.1   53384.5  109531.3   85753.7       0.1
   162840    10  52287.1   42883.0   95348.6   74466.8       0.0
   233008    10  52341.1   48095.0   83175.0   63435.7       0.0
   333411    10  52326.6   48683.3   62709.7   57224.6       0.0
   477079    10  52314.1   43076.0   54387.7   44328.5       0.0
   682653    10  52296.9   42087.3   37612.5   27244.8       0.0
   976810    10  52108.6   31736.9   31359.9   21221.3       0.0
  1397720    10  50867.4   26098.9   28213.2   18700.0       0.0
  2000000    10  47359.8   22826.1   27009.2   17967.6       0.0
